group_id,context,representative_tag,member_count,total_occurrences,members,member_occurrences
1,genre_tree.primary,Adventure,1,21242,Adventure,Adventure:21242
2,micro_tags,exploration,1,19160,exploration,exploration:19160
3,genre_tree.primary,Puzzle,1,17288,Puzzle,Puzzle:17288
4,genre_tree.primary,RPG,1,16666,RPG,RPG:16666
5,micro_tags,puzzle solving,1,16478,puzzle solving,puzzle solving:16478
6,micro_tags,open world,3,15431,open world | empty open world | live open world,open world:15428; empty open world:2; live open world:1
7,genre_tree.primary,Action,1,14749,Action,Action:14749
8,micro_tags,stealth mechanics,1,14650,stealth mechanics,stealth mechanics:14650
9,micro_tags,choice guilt,1,14104,choice guilt,choice guilt:14104
10,micro_tags,bar vibes,1,14082,bar vibes,bar vibes:14082
11,micro_tags,fall panic,1,14074,fall panic,fall panic:14074
12,micro_tags,narrative depth,1,14027,narrative depth,narrative depth:14027
13,micro_tags,time travel,1,12310,time travel,time travel:12310
14,micro_tags,character growth,1,11891,character growth,character growth:11891
15,genre_tree.sub,Narrative Adventure,1,10831,Narrative Adventure,Narrative Adventure:10831
16,micro_tags,crafting system,1,10760,crafting system,crafting system:10760
17,micro_tags,survival elements,1,10417,survival elements,survival elements:10417
18,micro_tags,moral dilemmas,1,10124,moral dilemmas,moral dilemmas:10124
19,micro_tags,co op gameplay,1,8944,co op gameplay,co op gameplay:8944
20,genre_tree.traits,Exploration,1,8429,Exploration,Exploration:8429
21,genre_tree.sub,Open World,1,7851,Open World,Open World:7851
22,genre_tree.traits,Resource Management,3,7781,Resource Management | Complex Resource Management | System Resource Management,Resource Management:7779; Complex Resource Management:1; System Resource Management:1
23,genre_tree.traits,Character Customization,2,7506,Character Customization | Limited Character Customization,Character Customization:7505; Limited Character Customization:1
24,genre_tree.primary,Survival,1,7495,Survival,Survival:7495
25,genre_tree.sub,Stealth,1,7084,Stealth,Stealth:7084
26,micro_tags,dynamic weather,1,6572,dynamic weather,dynamic weather:6572
27,genre_tree.traits,Character Development,1,5445,Character Development,Character Development:5445
28,genre_tree.sub,Metroidvania,1,5004,Metroidvania,Metroidvania:5004
29,micro_tags,retro graphics,1,4854,retro graphics,retro graphics:4854
30,genre_tree.traits,Non Linear Storytelling,1,4585,Non Linear Storytelling,Non Linear Storytelling:4585
31,micro_tags,resource management,1,4533,resource management,resource management:4533
32,genre_tree.sub,Survival Horror,1,4428,Survival Horror,Survival Horror:4428
33,genre_tree.sub,Open World RPG,1,4172,Open World RPG,Open World RPG:4172
34,genre_tree.primary,Simulation,1,3800,Simulation,Simulation:3800
35,genre_tree.traits,Environmental Storytelling,1,3726,Environmental Storytelling,Environmental Storytelling:3726
36,genre_tree.sub,Survival,1,3584,Survival,Survival:3584
37,genre_tree.primary,Strategy,1,3394,Strategy,Strategy:3394
38,micro_tags,atmospheric,1,3308,atmospheric,atmospheric:3308
39,genre_tree.sub,Interactive Fiction,1,3209,Interactive Fiction,Interactive Fiction:3209
40,genre_tree.traits,Environmental Puzzles,1,2864,Environmental Puzzles,Environmental Puzzles:2864
41,micro_tags,multiplayer co op,1,2700,multiplayer co op,multiplayer co op:2700
42,micro_tags,multiplayer,1,2538,multiplayer,multiplayer:2538
43,genre_tree.sub,Crafting,1,2502,Crafting,Crafting:2502
44,genre_tree.traits,Dynamic Choices,1,2482,Dynamic Choices,Dynamic Choices:2482
45,genre_tree.sub,Co Op,1,2475,Co Op,Co Op:2475
46,micro_tags,crafting,1,2454,crafting,crafting:2454
47,micro_tags,character customization,1,2237,character customization,character customization:2237
48,genre_tree.traits,Single Player,1,2176,Single Player,Single Player:2176
49,micro_tags,dynamic choices,1,2167,dynamic choices,dynamic choices:2167
50,micro_tags,time manipulation,1,2145,time manipulation,time manipulation:2145
51,micro_tags,survival,1,2112,survival,survival:2112
52,genre_tree.traits,Branching Storylines,1,2080,Branching Storylines,Branching Storylines:2080
53,micro_tags,combat strategy,1,2055,combat strategy,combat strategy:2055
54,genre_tree.traits,Choice Based,1,2007,Choice Based,Choice Based:2007
55,genre_tree.sub,Narrative Driven,1,1989,Narrative Driven,Narrative Driven:1989
56,micro_tags,character development,3,1984,character development | weak character development | poor character development,character development:1981; weak character development:2; poor character development:1
57,genre_tree.traits,Character Progression,1,1935,Character Progression,Character Progression:1935
58,genre_tree.traits,Story Driven,1,1906,Story Driven,Story Driven:1906
59,genre_tree.sub,Narrative,1,1885,Narrative,Narrative:1885
60,genre_tree.sub,Point And Click,1,1885,Point And Click,Point And Click:1885
61,genre_tree.traits,Atmospheric,1,1860,Atmospheric,Atmospheric:1860
62,genre_tree.sub,Exploration,1,1850,Exploration,Exploration:1850
63,genre_tree.traits,Fast-Paced,1,1841,Fast-Paced,Fast-Paced:1841
64,genre_tree.traits,Multiple Endings,1,1837,Multiple Endings,Multiple Endings:1837
65,genre_tree.sub,Puzzle Platformer,1,1757,Puzzle Platformer,Puzzle Platformer:1757
66,genre_tree.sub,Soulslike,1,1701,Soulslike,Soulslike:1701
67,genre_tree.traits,Multiplayer,1,1647,Multiplayer,Multiplayer:1647
68,micro_tags,time loop,1,1599,time loop,time loop:1599
69,genre_tree.sub,Roguelike,1,1564,Roguelike,Roguelike:1564
70,genre_tree.sub,Puzzle,1,1523,Puzzle,Puzzle:1523
71,micro_tags,mystery,1,1511,mystery,mystery:1511
72,genre_tree.primary,Casual,1,1492,Casual,Casual:1492
73,genre_tree.sub,Survival RPG,1,1473,Survival RPG,Survival RPG:1473
74,genre_tree.traits,Non Linear Gameplay,2,1473,Non Linear Gameplay | Nonlinear Gameplay,Non Linear Gameplay:1472; Nonlinear Gameplay:1
75,genre_tree.traits,Character Driven,1,1464,Character Driven,Character Driven:1464
76,micro_tags,retro aesthetics,1,1447,retro aesthetics,retro aesthetics:1447
77,genre_tree.traits,Environmental Interaction,2,1409,Environmental Interaction | Environment Interaction,Environmental Interaction:1408; Environment Interaction:1
78,micro_tags,dynamic storytelling,1,1404,dynamic storytelling,dynamic storytelling:1404
79,genre_tree.traits,Dynamic Environments,1,1387,Dynamic Environments,Dynamic Environments:1387
80,genre_tree.traits,Exploration Focused,1,1374,Exploration Focused,Exploration Focused:1374
81,micro_tags,fast-paced,1,1360,fast-paced,fast-paced:1360
82,genre_tree.traits,Dynamic Storytelling,1,1341,Dynamic Storytelling,Dynamic Storytelling:1341
83,genre_tree.primary,Indie,1,1332,Indie,Indie:1332
84,genre_tree.traits,Open World,1,1315,Open World,Open World:1315
