group_id,context,representative_tag,member_count,total_occurrences,members,member_occurrences
1,genre_tree.primary,Action,1,2362,Action,Action:2362
2,genre_tree.traits,Environmental Interaction,2,256,Environmental Interaction | Environment Interaction,Environmental Interaction:255; Environment Interaction:1
3,micro_tags,mystery,1,244,mystery,mystery:244
4,genre_tree.sub,Mystery,1,204,Mystery,Mystery:204
5,genre_tree.sub,Action RPG,1,74,Action RPG,Action RPG:74
6,genre_tree.sub,Stealth Action,1,69,Stealth Action,Stealth Action:69
7,micro_tags,action-packed,1,66,action-packed,action-packed:66
8,micro_tags,mystery solving,1,31,mystery solving,mystery solving:31
9,genre_tree.sub,Action Adventure,1,29,Action Adventure,Action Adventure:29
10,genre_tree.traits,Character Interaction,1,24,Character Interaction,Character Interaction:24
11,micro_tags,fast-paced action,1,24,fast-paced action,fast-paced action:24
12,micro_tags,NPC interactions,1,20,NPC interactions,NPC interactions:20
13,micro_tags,arcade action,1,20,arcade action,arcade action:20
14,genre_tree.traits,Fast-Paced Action,1,15,Fast-Paced Action,Fast-Paced Action:15
15,micro_tags,mystery elements,1,15,mystery elements,mystery elements:15
16,genre_tree.traits,Social Interaction,1,14,Social Interaction,Social Interaction:14
17,micro_tags,action adventure,1,14,action adventure,action adventure:14
18,micro_tags,intense action,1,13,intense action,intense action:13
19,micro_tags,action RPG,1,12,action RPG,action RPG:12
20,micro_tags,explosive action,1,12,explosive action,explosive action:12
21,micro_tags,action oriented,1,11,action oriented,action oriented:11
22,micro_tags,character interactions,1,11,character interactions,character interactions:11
23,micro_tags,social interaction,1,11,social interaction,social interaction:11
24,genre_tree.sub,Action Puzzle,1,10,Action Puzzle,Action Puzzle:10
25,micro_tags,murder mystery,1,9,murder mystery,murder mystery:9
26,micro_tags,stealth action,1,9,stealth action,stealth action:9
27,genre_tree.primary,Action RPG,1,8,Action RPG,Action RPG:8
28,genre_tree.traits,Real-Time Interaction,1,8,Real-Time Interaction,Real-Time Interaction:8
29,genre_tree.sub,Mystery Puzzle,1,7,Mystery Puzzle,Mystery Puzzle:7
30,micro_tags,2D action,1,7,2D action,2D action:7
31,micro_tags,environment interaction,2,7,environment interaction | environmental interaction,environment interaction:5; environmental interaction:2
32,genre_tree.traits,Dynamic Interactions,1,6,Dynamic Interactions,Dynamic Interactions:6
