group_id,context,representative_tag,member_count,total_occurrences,members,member_occurrences
1,genre_tree.primary,Adventure,1,19179,Adventure,Adventure:19179
2,micro_tags,intense exploration,8,17264,exploration | limited exploration | satisfying exploration | engaging exploration | exploration confusion | exploration fun | intense exploration | meaning exploration,exploration:17244; limited exploration:13; satisfying exploration:2; engaging exploration:1; exploration confusion:1; exploration fun:1; intense exploration:1; meaning exploration:1
3,genre_tree.primary,Puzzle,1,15559,Puzzle,Puzzle:15559
4,genre_tree.primary,RPG,1,14936,RPG,RPG:14936
5,micro_tags,puzzle solutions,5,14741,puzzle solving | puzzle-solving | puzzle issues | puzzle solutions | puzzle solver,puzzle solving:13828; puzzle-solving:908; puzzle issues:2; puzzle solutions:2; puzzle solver:1
6,micro_tags,live open world,4,13789,open world | open-world | empty open world | live open world,open world:13690; open-world:96; empty open world:2; live open world:1
7,micro_tags,stealth gameplay,8,13714,stealth mechanics | stealth | stealth gameplay | stealth tactics | stealth challenges | stealth combat | stealth strategy | tactical stealth,stealth mechanics:13055; stealth:480; stealth gameplay:163; stealth tactics:6; stealth challenges:3; stealth combat:3; stealth strategy:2; tactical stealth:2
8,genre_tree.primary,Action,1,13443,Action,Action:13443
9,micro_tags,choice guilt,1,12599,choice guilt,choice guilt:12599
10,micro_tags,storyline depth,4,12593,narrative depth | story depth | storyline depth | in-depth narrative,narrative depth:12535; story depth:55; storyline depth:2; in-depth narrative:1
11,micro_tags,bar vibes,1,12580,bar vibes,bar vibes:12580
12,micro_tags,fall panic,1,12572,fall panic,fall panic:12572
13,micro_tags,easy crafting,6,11819,crafting system | crafting | build crafting | easy crafting | hands-on crafting | machine crafting,crafting system:9593; crafting:2220; build crafting:3; easy crafting:1; hands-on crafting:1; machine crafting:1
14,micro_tags,time travel,1,10999,time travel,time travel:10999
15,micro_tags,character growth,1,10608,character growth,character growth:10608
16,micro_tags,co-op multiplayer,5,10533,co-op gameplay | multiplayer co-op | co-op play | co-op fun | co-op multiplayer,co-op gameplay:7977; multiplayer co-op:2394; co-op play:90; co-op fun:55; co-op multiplayer:17
17,genre_tree.sub,Narrative Adventure,2,9692,Narrative Adventure | Story Adventure,Narrative Adventure:9690; Story Adventure:2
18,micro_tags,survival elements,1,9293,survival elements,survival elements:9293
19,micro_tags,ethical dilemmas,4,9023,moral dilemmas | ethical dilemmas | moral dilemma | moral conflict,moral dilemmas:9011; ethical dilemmas:9; moral dilemma:2; moral conflict:1
20,genre_tree.traits,Exploration Focused,8,7918,Exploration | exploration | Exploration Focused | exploration focused | limited exploration | Exploration Based | Exploration Driven | Limited Exploration,Exploration:6868; exploration:806; Exploration Focused:232; exploration focused:6; limited exploration:3; Exploration Based:1; Exploration Driven:1; Limited Exploration:1
