group_id,context,representative_tag,member_count,total_occurrences,members,member_occurrences
1,mechanics,exploration,1,22227,exploration,exploration:22227
2,mechanics,combat,1,19843,combat,combat:19843
3,structure_loop,exploration,1,18346,exploration,exploration:18346
4,mechanics,puzzle solving,1,18133,puzzle solving,puzzle solving:18133
5,mechanics,crafting,1,17115,crafting,crafting:17115
6,vibe,dark,1,16586,dark,dark:16586
7,mechanics,stealth,1,16573,stealth,stealth:16573
8,narrative,betrayal,1,16490,betrayal,betrayal:16490
9,narrative,redemption,1,16433,redemption,redemption:16433
10,vibe,nostalgic,1,15922,nostalgic,nostalgic:15922
11,narrative,mystery,1,15860,mystery,mystery:15860
12,uniqueness,art style,1,15223,art style,art style:15223
13,narrative,survival,1,14801,survival,survival:14801
14,narrative,friendship,1,14686,friendship,friendship:14686
15,vibe,whimsical,1,14250,whimsical,whimsical:14250
16,vibe,tense,1,13959,tense,tense:13959
17,vibe,hopeful,1,13142,hopeful,hopeful:13142
18,structure_loop,resource management,1,11725,resource management,resource management:11725
19,structure_loop,progression,1,11338,progression,progression:11338
20,uniqueness,dynamic world,1,10863,dynamic world,dynamic world:10863
21,uniqueness,multiplayer elements,1,9879,multiplayer elements,multiplayer elements:9879
22,uniqueness,time manipulation,1,9188,time manipulation,time manipulation:9188
23,structure_loop,character development,1,6917,character development,character development:6917
24,uniqueness,narrative choice,1,6818,narrative choice,narrative choice:6818
25,structure_loop,challenge,1,6228,challenge,challenge:6228
26,structure_loop,combat,1,5216,combat,combat:5216
27,vibe,intense,1,5142,intense,intense:5142
28,narrative,hero s journey,2,5104,hero s journey | hero journey,hero s journey:5036; hero journey:68
29,uniqueness,narrative choices,1,4359,narrative choices,narrative choices:4359
30,structure_loop,reward,1,4346,reward,reward:4346
31,structure_loop,replayability,1,3930,replayability,replayability:3930
32,structure_loop,combat encounters,1,3837,combat encounters,combat encounters:3837
33,vibe,immersive,1,3044,immersive,immersive:3044
34,vibe,frustrating,1,2617,frustrating,frustrating:2617
35,uniqueness,dynamic choices,1,2252,dynamic choices,dynamic choices:2252
36,vibe,mysterious,1,2154,mysterious,mysterious:2154
37,vibe,frustration,1,2141,frustration,frustration:2141
38,vibe,lighthearted,1,1853,lighthearted,lighthearted:1853
39,uniqueness,non linear,1,1792,non linear,non linear:1792
40,uniqueness,multiplayer,1,1638,multiplayer,multiplayer:1638
41,mechanics,resource management,1,1636,resource management,resource management:1636
42,structure_loop,questing,1,1540,questing,questing:1540
43,mechanics,puzzle,1,1440,puzzle,puzzle:1440
44,vibe,challenging,1,1391,challenging,challenging:1391
45,uniqueness,world building,3,1357,world building | rich world building | deep world building,world building:1347; rich world building:9; deep world building:1
46,structure_loop,narrative,1,1302,narrative,narrative:1302
47,uniqueness,character customization,1,1290,character customization,character customization:1290
48,narrative,adventure,1,1248,adventure,adventure:1248
49,uniqueness,soundtrack,1,1227,soundtrack,soundtrack:1227
50,vibe,suspenseful,1,1192,suspenseful,suspenseful:1192
51,narrative,competition,1,1134,competition,competition:1134
52,uniqueness,game mechanics,2,1091,game mechanics | game over mechanics,game mechanics:1090; game over mechanics:1
53,structure_loop,repetition,1,1045,repetition,repetition:1045
54,narrative,humor,1,1040,humor,humor:1040
55,structure_loop,feedback,1,1028,feedback,feedback:1028
56,uniqueness,character design,2,1019,character design | quirky character design,character design:1018; quirky character design:1
57,structure_loop,side quests,1,1002,side quests,side quests:1002
58,uniqueness,immersive world,1,973,immersive world,immersive world:973
59,vibe,engaging,1,945,engaging,engaging:945
60,mechanics,platforming,1,937,platforming,platforming:937
61,mechanics,multiplayer,1,926,multiplayer,multiplayer:926
62,narrative,challenge,1,922,challenge,challenge:922
63,narrative,exploration,1,903,exploration,exploration:903
64,narrative,nostalgia,1,893,nostalgia,nostalgia:893
65,uniqueness,non linear narrative,2,877,non linear narrative | nonlinear narrative,non linear narrative:876; nonlinear narrative:1
66,mechanics,strategy,1,863,strategy,strategy:863
