group_id,context,representative_tag,member_count,total_occurrences,members,member_occurrences
1,narrative,mystery,1,2547,mystery,mystery:2547
2,mechanics,interaction,1,117,interaction,interaction:117
3,vibe,satisfaction,1,85,satisfaction,satisfaction:85
4,uniqueness,environment interaction,2,36,environment interaction | environmental interaction,environment interaction:26; environmental interaction:10
5,mechanics,character interaction,1,35,character interaction,character interaction:35
6,structure_loop,character interaction,1,22,character interaction,character interaction:22
7,mechanics,action,1,15,action,action:15
8,mechanics,environment interaction,2,14,environment interaction | environmental interaction,environment interaction:10; environmental interaction:4
9,narrative,action,1,13,action,action:13
10,structure_loop,social interaction,1,12,social interaction,social interaction:12
11,narrative,character interaction,1,11,character interaction,character interaction:11
12,structure_loop,character interactions,1,11,character interactions,character interactions:11
13,uniqueness,character interaction,1,9,character interaction,character interaction:9
14,narrative,faction conflict,1,8,faction conflict,faction conflict:8
15,narrative,satisfaction,1,8,satisfaction,satisfaction:8
16,structure_loop,community interaction,1,8,community interaction,community interaction:8
17,mechanics,interactions,1,7,interactions,interactions:7
18,mechanics,item interaction,1,7,item interaction,item interaction:7
19,structure_loop,player interaction,1,7,player interaction,player interaction:7
20,mechanics,VR interaction,1,6,VR interaction,VR interaction:6
21,vibe,mystery,1,6,mystery,mystery:6
22,uniqueness,community interaction,1,5,community interaction,community interaction:5
23,narrative,factions,1,4,factions,factions:4
24,narrative,murder mystery,1,4,murder mystery,murder mystery:4
25,structure_loop,action,1,4,action,action:4
26,vibe,action-packed,1,4,action-packed,action-packed:4
27,mechanics,AI interaction,1,3,AI interaction,AI interaction:3
28,mechanics,NPC interaction,1,3,NPC interaction,NPC interaction:3
29,mechanics,action points,1,3,action points,action points:3
30,mechanics,microtransactions,1,3,microtransactions,microtransactions:3
31,mechanics,multiplayer interaction,1,3,multiplayer interaction,multiplayer interaction:3
32,mechanics,text interaction,1,3,text interaction,text interaction:3
33,narrative,abstraction,1,3,abstraction,abstraction:3
34,narrative,community interaction,1,3,community interaction,community interaction:3
35,structure_loop,puzzle interaction,1,3,puzzle interaction,puzzle interaction:3
36,uniqueness,NPC interaction,1,3,NPC interaction,NPC interaction:3
37,uniqueness,character interactions,1,3,character interactions,character interactions:3
38,uniqueness,developer interaction,1,3,developer interaction,developer interaction:3
39,uniqueness,live action,1,3,live action,live action:3
40,uniqueness,microtransactions,1,3,microtransactions,microtransactions:3
41,uniqueness,social interaction,1,3,social interaction,social interaction:3
42,mechanics,action RPG,1,2,action RPG,action RPG:2
43,mechanics,action adventure,1,2,action adventure,action adventure:2
44,mechanics,card interactions,1,2,card interactions,card interactions:2
45,mechanics,creature interaction,1,2,creature interaction,creature interaction:2
46,mechanics,dialogue interaction,1,2,dialogue interaction,dialogue interaction:2
47,mechanics,faction variation,1,2,faction variation,faction variation:2
48,mechanics,musical interaction,1,2,musical interaction,musical interaction:2
49,mechanics,terrain interaction,1,2,terrain interaction,terrain interaction:2
50,narrative,action adventure,1,2,action adventure,action adventure:2
51,narrative,action theme,1,2,action theme,action theme:2
52,narrative,character interactions,1,2,character interactions,character interactions:2
53,narrative,customer interaction,1,2,customer interaction,customer interaction:2
54,narrative,developer interaction,1,2,developer interaction,developer interaction:2
55,narrative,faction war,1,2,faction war,faction war:2
56,structure_loop,continuous action,1,2,continuous action,continuous action:2
57,structure_loop,dialogue interaction,1,2,dialogue interaction,dialogue interaction:2
58,structure_loop,environmental interaction,1,2,environmental interaction,environmental interaction:2
59,structure_loop,item interaction,1,2,item interaction,item interaction:2
60,structure_loop,repetitive actions,1,2,repetitive actions,repetitive actions:2
61,uniqueness,AI interaction,1,2,AI interaction,AI interaction:2
62,uniqueness,color interaction,1,2,color interaction,color interaction:2
63,uniqueness,community reaction,1,2,community reaction,community reaction:2
64,vibe,intense action,1,2,intense action,intense action:2
65,mechanics,NPC interactions,1,1,NPC interactions,NPC interactions:1
66,mechanics,action combat,1,1,action combat,action combat:1
67,mechanics,action driven,1,1,action driven,action driven:1
68,mechanics,action keys,1,1,action keys,action keys:1
69,mechanics,action resolution,1,1,action resolution,action resolution:1
70,mechanics,action selection,1,1,action selection,action selection:1
71,mechanics,action sequences,1,1,action sequences,action sequences:1
72,mechanics,action wheel,1,1,action wheel,action wheel:1
73,mechanics,art interaction,1,1,art interaction,art interaction:1
74,mechanics,audio interaction,1,1,audio interaction,audio interaction:1
75,mechanics,bug interaction,1,1,bug interaction,bug interaction:1
76,mechanics,character interactions,1,1,character interactions,character interactions:1
77,mechanics,color interaction,1,1,color interaction,color interaction:1
78,mechanics,faction balance,1,1,faction balance,faction balance:1
79,mechanics,faction balancing,1,1,faction balancing,faction balancing:1
80,mechanics,faction choice,1,1,faction choice,faction choice:1
81,mechanics,faction strategy,1,1,faction strategy,faction strategy:1
82,mechanics,fast reaction,1,1,fast reaction,fast reaction:1
83,mechanics,god interaction,1,1,god interaction,god interaction:1
84,mechanics,map interactions,1,1,map interactions,map interactions:1
85,mechanics,menu interaction,1,1,menu interaction,menu interaction:1
86,mechanics,minimal interaction,1,1,minimal interaction,minimal interaction:1
87,mechanics,player actions,1,1,player actions,player actions:1
88,mechanics,power interaction,1,1,power interaction,power interaction:1
89,mechanics,puck interaction,1,1,puck interaction,puck interaction:1
90,mechanics,reaction based,1,1,reaction based,reaction based:1
91,mechanics,reaction time,1,1,reaction time,reaction time:1
92,mechanics,real-time action,1,1,real-time action,real-time action:1
93,mechanics,satisfaction,1,1,satisfaction,satisfaction:1
94,mechanics,table interaction,1,1,table interaction,table interaction:1
95,mechanics,timer based actions,1,1,timer based actions,timer based actions:1
96,mechanics,turret interaction,1,1,turret interaction,turret interaction:1
97,mechanics,twitch action,1,1,twitch action,twitch action:1
98,mechanics,villager interaction,1,1,villager interaction,villager interaction:1
99,narrative,action focus,1,1,action focus,action focus:1
100,narrative,action focused,1,1,action focused,action focused:1
101,narrative,action movie,1,1,action movie,action movie:1
102,narrative,action rhythm,1,1,action rhythm,action rhythm:1
103,narrative,action tropes,1,1,action tropes,action tropes:1
104,narrative,arcade action,1,1,arcade action,arcade action:1
105,narrative,casual action,1,1,casual action,casual action:1
106,narrative,classic action,1,1,classic action,classic action:1
107,narrative,comedic interactions,1,1,comedic interactions,comedic interactions:1
108,narrative,cultural interaction,1,1,cultural interaction,cultural interaction:1
109,narrative,distraction,1,1,distraction,distraction:1
110,narrative,faction,1,1,faction,faction:1
111,narrative,faction campaigns,1,1,faction campaigns,faction campaigns:1
112,narrative,faction choice,1,1,faction choice,faction choice:1
113,narrative,faction dynamics,1,1,faction dynamics,faction dynamics:1
114,narrative,faction intrigue,1,1,faction intrigue,faction intrigue:1
115,narrative,faction lore,1,1,faction lore,faction lore:1
116,narrative,faction story,1,1,faction story,faction story:1
117,narrative,faction switching,1,1,faction switching,faction switching:1
118,narrative,faction system,1,1,faction system,faction system:1
119,narrative,faction variability,1,1,faction variability,faction variability:1
120,narrative,faction variety,1,1,faction variety,faction variety:1
121,narrative,faction wars,1,1,faction wars,faction wars:1
122,narrative,fan interaction,1,1,fan interaction,fan interaction:1
123,narrative,fast-paced action,1,1,fast-paced action,fast-paced action:1
124,narrative,intense action,1,1,intense action,intense action:1
125,narrative,lack interaction,1,1,lack interaction,lack interaction:1
126,narrative,live action,1,1,live action,live action:1
127,narrative,mystery elements,1,1,mystery elements,mystery elements:1
128,narrative,mystery themes,1,1,mystery themes,mystery themes:1
129,narrative,ontological mystery,1,1,ontological mystery,ontological mystery:1
130,narrative,player interaction,1,1,player interaction,player interaction:1
131,narrative,resource extraction,1,1,resource extraction,resource extraction:1
132,narrative,simplified action,1,1,simplified action,simplified action:1
133,narrative,social interaction,1,1,social interaction,social interaction:1
134,narrative,space mystery,1,1,space mystery,space mystery:1
135,narrative,world interaction,1,1,world interaction,world interaction:1
136,structure_loop,AI interaction,1,1,AI interaction,AI interaction:1
137,structure_loop,action bar,1,1,action bar,action bar:1
138,structure_loop,action reaction,1,1,action reaction,action reaction:1
139,structure_loop,action sequence,1,1,action sequence,action sequence:1
140,structure_loop,action sequences,1,1,action sequences,action sequences:1
141,structure_loop,action-packed,1,1,action-packed,action-packed:1
142,structure_loop,chain reaction,1,1,chain reaction,chain reaction:1
143,structure_loop,diplomatic interaction,1,1,diplomatic interaction,diplomatic interaction:1
144,structure_loop,dynamic interactions,1,1,dynamic interactions,dynamic interactions:1
145,structure_loop,enemy interaction,1,1,enemy interaction,enemy interaction:1
146,structure_loop,faction balance,1,1,faction balance,faction balance:1
147,structure_loop,faction interaction,1,1,faction interaction,faction interaction:1
148,structure_loop,fast-paced action,1,1,fast-paced action,fast-paced action:1
149,structure_loop,immediate action,1,1,immediate action,immediate action:1
150,structure_loop,interaction cycle,1,1,interaction cycle,interaction cycle:1
151,structure_loop,menu interaction,1,1,menu interaction,menu interaction:1
152,structure_loop,micro transactions,1,1,micro transactions,micro transactions:1
153,structure_loop,optional interactions,1,1,optional interactions,optional interactions:1
154,structure_loop,rapid fire action,1,1,rapid fire action,rapid fire action:1
155,structure_loop,satisfaction,1,1,satisfaction,satisfaction:1
156,structure_loop,team interaction,1,1,team interaction,team interaction:1
157,structure_loop,timed actions,1,1,timed actions,timed actions:1
158,structure_loop,world interaction,1,1,world interaction,world interaction:1
159,uniqueness,AI interactions,1,1,AI interactions,AI interactions:1
160,uniqueness,NPC interactions,1,1,NPC interactions,NPC interactions:1
161,uniqueness,VR interaction,1,1,VR interaction,VR interaction:1
162,uniqueness,action RPG blend,1,1,action RPG blend,action RPG blend:1
163,uniqueness,action management,1,1,action management,action management:1
164,uniqueness,action-packed,1,1,action-packed,action-packed:1
165,uniqueness,animal interaction,1,1,animal interaction,animal interaction:1
166,uniqueness,bite sized action,1,1,bite sized action,bite sized action:1
167,uniqueness,clone interaction,1,1,clone interaction,clone interaction:1
168,uniqueness,complex interactions,1,1,complex interactions,complex interactions:1
169,uniqueness,detailed interactions,1,1,detailed interactions,detailed interactions:1
170,uniqueness,explosive action,1,1,explosive action,explosive action:1
171,uniqueness,faction distinction,1,1,faction distinction,faction distinction:1
172,uniqueness,faction diversity,1,1,faction diversity,faction diversity:1
173,uniqueness,faction interaction,1,1,faction interaction,faction interaction:1
174,uniqueness,faction limit,1,1,faction limit,faction limit:1
175,uniqueness,faction styles,1,1,faction styles,faction styles:1
176,uniqueness,faction variability,1,1,faction variability,faction variability:1
177,uniqueness,fast-paced action,1,1,fast-paced action,fast-paced action:1
178,uniqueness,generator interaction,1,1,generator interaction,generator interaction:1
179,uniqueness,ghost interaction,1,1,ghost interaction,ghost interaction:1
180,uniqueness,gunplay satisfaction,1,1,gunplay satisfaction,gunplay satisfaction:1
181,uniqueness,hands-on interaction,1,1,hands-on interaction,hands-on interaction:1
182,uniqueness,limited interaction,1,1,limited interaction,limited interaction:1
183,uniqueness,microtransaction elements,1,1,microtransaction elements,microtransaction elements:1
184,uniqueness,mystery elements,1,1,mystery elements,mystery elements:1
185,uniqueness,mystery integration,1,1,mystery integration,mystery integration:1
186,uniqueness,natural reactions,1,1,natural reactions,natural reactions:1
187,uniqueness,nine factions,1,1,nine factions,nine factions:1
188,uniqueness,no micro transactions,1,1,no micro transactions,no micro transactions:1
189,uniqueness,non action,1,1,non action,non action:1
190,uniqueness,organic interaction,1,1,organic interaction,organic interaction:1
191,uniqueness,physical interaction,1,1,physical interaction,physical interaction:1
