group_id,context,representative_tag,member_count,total_occurrences,members,member_occurrences
1,mechanics,limited exploration,8,20096,exploration | Exploration | exploring | exploration_choice | explore | limited exploration | spatial-exploration | urban exploration,exploration:20075; Exploration:10; exploring:6; exploration_choice:1; explore:1; limited exploration:1; spatial-exploration:1; urban exploration:1
2,mechanics,combat encounters,12,17944,combat | fighting | tactical combat | combat mechanics | Combat | warfare | Tactical Combat | action combat | combat encounters | enemy combat | no combat | simple combat,combat:17875; fighting:35; tactical combat:14; combat mechanics:7; Combat:4; warfare:3; Tactical Combat:1; action combat:1; combat encounters:1; enemy combat:1; no combat:1; simple combat:1
3,mechanics,Puzzle,7,17637,puzzle-solving | puzzle | puzzle_solving | puzzle solving | Puzzle Solving | Puzzle | riddle_solving,puzzle-solving:15736; puzzle:1326; puzzle_solving:522; puzzle solving:49; Puzzle Solving:2; Puzzle:1; riddle_solving:1
4,structure_loop,exploration flow,12,16599,exploration | exploration-cycle | explore | exploration flow | exploration focus | exploring | Exploration | exploration cycle | exploration-driven | exploration-puzzles | exploration challenges | exploration-phase,exploration:16517; exploration-cycle:39; explore:9; exploration flow:6; exploration focus:6; exploring:6; Exploration:5; exploration cycle:4; exploration-driven:3; exploration-puzzles:2; exploration challenges:1; exploration-phase:1
5,mechanics,spell-crafting,9,15332,crafting | item crafting | spell crafting | Crafting | build crafting | card crafting | gear crafting | item_crafting | spell-crafting,crafting:15322; item crafting:2; spell crafting:2; Crafting:1; build crafting:1; card crafting:1; gear crafting:1; item_crafting:1; spell-crafting:1
6,vibe,dark,2,14870,dark | darkness,dark:14859; darkness:11
7,mechanics,stealth,2,14841,stealth | stealth gameplay,stealth:14840; stealth gameplay:1
8,narrative,family_betrayal,3,14750,betrayal | family_betrayal | character betrayal,betrayal:14747; family_betrayal:2; character betrayal:1
9,narrative,personal_redemption,4,14709,redemption | redemption arc | personal_redemption | redemption quest,redemption:14704; redemption arc:3; personal_redemption:1; redemption quest:1
10,vibe,nostalgic_feel,6,14469,nostalgic | Nostalgic | nostalgic feel | nostalgic_feel | nostalgic style | nostalgic tone,nostalgic:14448; Nostalgic:10; nostalgic feel:7; nostalgic_feel:2; nostalgic style:1; nostalgic tone:1
11,narrative,mysterious,2,14222,mystery | mysterious,mystery:14221; mysterious:1
12,uniqueness,artstyle,12,13721,art style | art_style | art-style | artstyle | artistic style | distinct art style | artistic-style | Art Style | ArtStyle | Classic Art Style | Distinct art style | art design,art style:9411; art_style:3930; art-style:290; artstyle:28; artistic style:21; distinct art style:21; artistic-style:15; Art Style:1; ArtStyle:1; Classic Art Style:1; Distinct art style:1; art design:1
13,narrative,environmental survival,6,13297,survival | Survival | survival challenge | survival struggle | environmental survival | survival story,survival:13288; Survival:3; survival challenge:2; survival struggle:2; environmental survival:1; survival story:1
14,narrative,Friendship,2,13164,friendship | Friendship,friendship:13163; Friendship:1
15,vibe,whimsical,3,12791,whimsical | whimsy | Whimsical,whimsical:12779; whimsy:11; Whimsical:1
16,vibe,tense,2,12545,tense | Tense,tense:12544; Tense:1
17,vibe,hopeful,2,11756,hopeful | Hopeful,hopeful:11755; Hopeful:1
18,structure_loop,story progression,9,10732,story progression | story_progression | character progression | narrative_progression | narrative progression | story-progression | character-progression | Narrative Progression | main story progression,story progression:8256; story_progression:1598; character progression:805; narrative_progression:46; narrative progression:19; story-progression:4; character-progression:2; Narrative Progression:1; main story progression:1
19,structure_loop,limited progression,12,10642,progression | level progression | level-progression | Progression | limited progression | easy progression | gradual progression | no progression | No Progression | endless progression | game progression | gentle progression,progression:10399; level progression:192; level-progression:21; Progression:12; limited progression:6; easy progression:3; gradual progression:3; no progression:2; No Progression:1; endless progression:1; game progression:1; gentle progression:1
20,structure_loop,resource allocation,10,10587,resource management | resource_management | resource-gathering | resource gathering | resource-management | resource allocation | resource generation | Resource Gathering | Resource Management | resource optimization,resource management:8766; resource_management:1709; resource-gathering:43; resource gathering:27; resource-management:23; resource allocation:14; resource generation:2; Resource Gathering:1; Resource Management:1; resource optimization:1
21,uniqueness,narrative-choice,9,9989,narrative choices | narrative choice | narrative_choice | narrative-choice | narrative_choices | narrative-choices | narrative style | narrative | narrative-approach,narrative choices:3886; narrative choice:3756; narrative_choice:2259; narrative-choice:58; narrative_choices:17; narrative-choices:6; narrative style:4; narrative:2; narrative-approach:1
22,uniqueness,dynamic-world,5,9743,dynamic world | dynamic_world | dynamic-world | dynamic | dynamic worlds,dynamic world:7556; dynamic_world:2088; dynamic-world:61; dynamic:37; dynamic worlds:1
23,uniqueness,multiplayer elements,2,8828,multiplayer elements | multiplayer_elements,multiplayer elements:7468; multiplayer_elements:1360
24,uniqueness,time_manipulation,3,8201,time manipulation | time_manipulation | time-manipulation,time manipulation:6523; time_manipulation:1490; time-manipulation:188
25,structure_loop,strategic combat,12,8045,combat | combat encounters | battles | combat-encounters | combat-engagement | battle | combat-encounter | Combat | Combat Encounters | combat_fights | fighting | strategic combat,combat:4683; combat encounters:3313; battles:20; combat-encounters:11; combat-engagement:7; battle:3; combat-encounter:3; Combat:1; Combat Encounters:1; combat_fights:1; fighting:1; strategic combat:1
26,structure_loop,character_development,3,6183,character development | character_development | character-development,character development:5373; character_development:758; character-development:52
27,structure_loop,easy challenges,9,5998,challenge | challenges | challenging | challenge-reward | increasing challenge | Challenges | challenge-fulfillment | easy challenges | repetitive challenge,challenge:5637; challenges:317; challenging:33; challenge-reward:5; increasing challenge:2; Challenges:1; challenge-fulfillment:1; easy challenges:1; repetitive challenge:1
28,vibe,Intense,2,4716,intense | Intense,intense:4714; Intense:2
29,narrative,hero journey,6,4608,hero's journey | hero_journey | heroic journey | hero's-journey | heroic-journey | hero journey,hero's journey:4510; hero_journey:54; heroic journey:17; hero's-journey:10; heroic-journey:10; hero journey:7
30,structure_loop,reward-system,11,4502,reward | rewards | rewarding | reward system | puzzle-reward | reward-system | reward-cycle | rewarding challenge | rewardless | rewarding-progress | task-reward,reward:3906; rewards:338; rewarding:128; reward system:86; puzzle-reward:25; reward-system:7; reward-cycle:6; rewarding challenge:2; rewardless:2; rewarding-progress:1; task-reward:1
31,structure_loop,replayable,12,3839,replayability | replayable | Replayability | no_replayability | endless_replayability | high_replayability | lack_of_replayability | replay mechanics | replay-driven | replayability concerns | replayability issues | replayable scenarios,replayability:3664; replayable:156; Replayability:8; no_replayability:3; endless_replayability:1; high_replayability:1; lack_of_replayability:1; replay mechanics:1; replay-driven:1; replayability concerns:1; replayability issues:1; replayable scenarios:1
32,vibe,immersive experience,10,2884,immersive | Immersive | immersive_experience | immersive experience | immersive_world | immersive feel | immersive world | immersive detail | immersive_feel | immersive_story,immersive:2853; Immersive:9; immersive_experience:7; immersive experience:5; immersive_world:3; immersive feel:2; immersive world:2; immersive detail:1; immersive_feel:1; immersive_story:1
33,vibe,frustrating,2,2453,frustrating | Frustrating,frustrating:2440; Frustrating:13
34,vibe,frustration,4,2018,frustration | frustrated | Frustration | frustration-free,frustration:1998; frustrated:12; Frustration:4; frustration-free:4
35,uniqueness,dynamic choices,3,2016,dynamic choices | dynamic_choices | interactive choices,dynamic choices:1777; dynamic_choices:236; interactive choices:3
36,vibe,mystery,2,1957,mysterious | mystery,mysterious:1941; mystery:16
37,vibe,lighthearted tone,5,1727,lighthearted | Lighthearted | lighthearted feel | lighthearted tone | lighthearted_fun,lighthearted:1721; Lighthearted:3; lighthearted feel:1; lighthearted tone:1; lighthearted_fun:1
38,mechanics,resource_control,11,1626,resource_management | resource-management | resource management | resource_gathering | resource_allocation | Resource Management | resource_mining | resource_control | resource_awareness | resource_building | resource_system,resource_management:1112; resource-management:284; resource management:142; resource_gathering:45; resource_allocation:32; Resource Management:3; resource_mining:3; resource_control:2; resource_awareness:1; resource_building:1; resource_system:1
39,uniqueness,non_linear,3,1620,non-linear | nonlinear | non_linear,non-linear:1602; nonlinear:12; non_linear:6
40,uniqueness,distinct-art-style,7,1459,unique art style | unique_art_style | distinct-art-style | distinctive art | distinct art | distinct artstyle | unique-art-style,unique art style:1343; unique_art_style:99; distinct-art-style:6; distinctive art:5; distinct art:3; distinct artstyle:2; unique-art-style:1
41,uniqueness,multiplayer issues,12,1459,multiplayer | multiplayer mechanics | multiplayer interaction | multiplayer issues | limited-multiplayer | multiplayer options | multiplayer_friendly | multiplayer_world | no multiplayer | no_multiplayer | online multiplayer | online_multiplayer,multiplayer:1444; multiplayer mechanics:3; multiplayer interaction:2; multiplayer issues:2; limited-multiplayer:1; multiplayer options:1; multiplayer_friendly:1; multiplayer_world:1; no multiplayer:1; no_multiplayer:1; online multiplayer:1; online_multiplayer:1
42,structure_loop,run repetition,12,1445,repetition | repetitive | puzzle-repetition | level repetition | Repetition | repeat | repeating | Content Repetition | Repetitive | forced repetition | run repetition | trial-repetition,repetition:973; repetitive:454; puzzle-repetition:4; level repetition:3; Repetition:2; repeat:2; repeating:2; Content Repetition:1; Repetitive:1; forced repetition:1; run repetition:1; trial-repetition:1
43,structure_loop,side-questing,7,1421,questing | quest-based | quests | quest-driven | main quests | Questing | side-questing,questing:1368; quest-based:20; quests:20; quest-driven:9; main quests:2; Questing:1; side-questing:1
44,vibe,challenge,4,1386,challenging | challenge | Challenging | intense challenge,challenging:1288; challenge:90; Challenging:7; intense challenge:1
45,structure_loop,narrative-choices,9,1248,narrative | storytelling | narrative choices | narrative arcs | narrative_events | narrative-choices | narrative focus | narrative reveals | narrative-choice,narrative:1173; storytelling:33; narrative choices:17; narrative arcs:10; narrative_events:6; narrative-choices:4; narrative focus:3; narrative reveals:1; narrative-choice:1
46,uniqueness,world_builder,6,1219,world_building | world-building | rich_world_building | deep_world_building | world building | world_builder,world_building:643; world-building:571; rich_world_building:2; deep_world_building:1; world building:1; world_builder:1
47,narrative,classic adventure,8,1185,adventure | fantasy adventure | Adventure | action adventure | action-adventure | adventure story | classic adventure | magical_adventure,adventure:1172; fantasy adventure:5; Adventure:3; action adventure:1; action-adventure:1; adventure story:1; classic adventure:1; magical_adventure:1
48,vibe,suspense,4,1183,suspenseful | suspense | suspenseful action | suspenseful tone,suspenseful:1085; suspense:96; suspenseful action:1; suspenseful tone:1
49,uniqueness,character-customization,4,1164,character customization | character_customization | character-customization | customizable characters,character customization:1014; character_customization:137; character-customization:8; customizable characters:5
50,uniqueness,new soundtrack,12,1134,soundtrack | original_soundtrack | classic soundtrack | great soundtrack | acoustic_soundtrack | cool soundtrack | fun soundtrack | metal soundtrack | new soundtrack | original soundtrack | original-soundtrack | soundtrack variety,soundtrack:1118; original_soundtrack:4; classic soundtrack:2; great soundtrack:2; acoustic_soundtrack:1; cool soundtrack:1; fun soundtrack:1; metal soundtrack:1; new soundtrack:1; original soundtrack:1; original-soundtrack:1; soundtrack variety:1
51,narrative,competition,6,1084,competition | competitive | Competition | competition focus | friendly competition | player competition,competition:1068; competitive:10; Competition:3; competition focus:1; friendly competition:1; player competition:1
52,uniqueness,non_linear_story,9,1078,non-linear narrative | non-linear storytelling | non-linear_story | non-linear story | non-linear-narrative | non-linear_storytelling | non-linear-story | non_linear_story | nonlinear_narrative,non-linear narrative:776; non-linear storytelling:224; non-linear_story:35; non-linear story:21; non-linear-narrative:14; non-linear_storytelling:4; non-linear-story:2; non_linear_story:1; nonlinear_narrative:1
53,uniqueness,game_mechanics,10,1055,game_mechanics | game mechanics | gameplay_mechanics | game-mechanics | combat_mechanics | gameplay-mechanics | battle_mechanics | gameplay mechanics | RPG_mechanics | game_over_mechanics,game_mechanics:665; game mechanics:305; gameplay_mechanics:59; game-mechanics:8; combat_mechanics:6; gameplay-mechanics:6; battle_mechanics:2; gameplay mechanics:2; RPG_mechanics:1; game_over_mechanics:1
54,uniqueness,immersive experience,12,986,immersive world | immersive_world | immersive | immersive-world | immersive_experience | immersive experience | immersive-experience | immersive-environment | Immersive Experience | immersive details | immersive environments | immersive-story,immersive world:780; immersive_world:91; immersive:85; immersive-world:9; immersive_experience:8; immersive experience:4; immersive-experience:3; immersive-environment:2; Immersive Experience:1; immersive details:1; immersive environments:1; immersive-story:1
55,narrative,Humor,2,974,humor | Humor,humor:973; Humor:1
56,structure_loop,User Feedback,8,968,feedback | user_feedback | Feedback | community feedback | immediate feedback | user feedback | User Feedback | user-feedback,feedback:939; user_feedback:18; Feedback:3; community feedback:2; immediate feedback:2; user feedback:2; User Feedback:1; user-feedback:1
57,narrative,classic challenge,9,957,challenge | challenges | challenging | personal challenge | Challenge | Endless Challenge | challenge_overcoming | classic challenge | immediate challenge,challenge:867; challenges:77; challenging:5; personal challenge:3; Challenge:1; Endless Challenge:1; challenge_overcoming:1; classic challenge:1; immediate challenge:1
58,uniqueness,character_designs,4,929,character_design | character design | character-design | character_designs,character_design:776; character design:140; character-design:9; character_designs:4
59,structure_loop,side quests,7,903,side quests | side_quests | side-quests | sidequests | lack_of_side_quests | no_side_quests | side_questing,side quests:780; side_quests:106; side-quests:10; sidequests:4; lack_of_side_quests:1; no_side_quests:1; side_questing:1
60,mechanics,2d platforming,5,901,platforming | platformer | 2D_platforming | 2d platforming | cross platform,platforming:891; platformer:7; 2D_platforming:1; 2d platforming:1; cross platform:1
61,mechanics,multiplayer interaction,11,897,multiplayer | local multiplayer | multiplayer modes | Multiplayer | online_multiplayer | multiplayer challenge | multiplayer combat | multiplayer interaction | multiplayer mode | multiplayer_challenge | multiplayer_coop,multiplayer:876; local multiplayer:8; multiplayer modes:3; Multiplayer:2; online_multiplayer:2; multiplayer challenge:1; multiplayer combat:1; multiplayer interaction:1; multiplayer mode:1; multiplayer_challenge:1; multiplayer_coop:1
62,vibe,engaging_story,4,878,engaging | Engaging | engaging feel | engaging_story,engaging:865; Engaging:11; engaging feel:1; engaging_story:1
63,narrative,exploration themes,12,874,exploration | space exploration | exploration themes | exploration_journey | space-exploration | Exploration | Space Exploration | exploration journey | fun_exploration | nature_exploration | scientific_exploration | self-exploration,exploration:849; space exploration:8; exploration themes:3; exploration_journey:3; space-exploration:3; Exploration:2; Space Exploration:1; exploration journey:1; fun_exploration:1; nature_exploration:1; scientific_exploration:1; self-exploration:1
64,mechanics,action-strategy,12,873,strategy | strategic | strategies | team strategy | Strategic | Strategy | action-strategy | battle-strategy | defensive strategy | multiple strategies | strategy optimization | strategy planning,strategy:811; strategic:48; strategies:4; team strategy:2; Strategic:1; Strategy:1; action-strategy:1; battle-strategy:1; defensive strategy:1; multiple strategies:1; strategy optimization:1; strategy planning:1
65,narrative,nostalgia,5,860,nostalgia | childhood_nostalgia | retro nostalgia | 80s nostalgia | retro-nostalgia,nostalgia:853; childhood_nostalgia:3; retro nostalgia:2; 80s nostalgia:1; retro-nostalgia:1
66,vibe,satisfying,2,792,satisfying | Satisfying,satisfying:787; Satisfying:5
67,uniqueness,dynamic_environments,7,791,dynamic environments | dynamic-environment | dynamic environment | dynamic_environments | dynamic-environments | Dynamic Environment | varied-environments,dynamic environments:736; dynamic-environment:27; dynamic environment:13; dynamic_environments:10; dynamic-environments:3; Dynamic Environment:1; varied-environments:1
68,vibe,playful atmosphere,5,787,playful | playfulness | playful tone | playful atmosphere | playful_feel,playful:771; playfulness:10; playful tone:3; playful atmosphere:2; playful_feel:1
69,structure_loop,escalating,7,751,challenge escalation | escalation | escalating_challenges | escalating-challenges | escalating | escalating difficulty | level escalation,challenge escalation:729; escalation:14; escalating_challenges:3; escalating-challenges:2; escalating:1; escalating difficulty:1; level escalation:1
70,structure_loop,short_session,12,717,short_sessions | short sessions | quick_sessions | short-sessions | short-session | session_length | short_session | long_sessions | Short Sessions | long_play_sessions | short session | short_play_sessions,short_sessions:471; short sessions:116; quick_sessions:53; short-sessions:38; short-session:12; session_length:7; short_session:7; long_sessions:6; Short Sessions:4; long_play_sessions:1; short session:1; short_play_sessions:1
71,structure_loop,upgrade strategy,7,717,upgrades | upgrading | upgrade | upgrade cycle | item upgrades | unit upgrades | upgrade strategy,upgrades:679; upgrading:21; upgrade:9; upgrade cycle:5; item upgrades:1; unit upgrades:1; upgrade strategy:1
72,uniqueness,multiplayer-integration,3,711,multiplayer integration | multiplayer-integration | multiplayer_integration,multiplayer integration:676; multiplayer-integration:34; multiplayer_integration:1
